"Kommunenavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
København,45756,17269,7.2,2.7,638769
Frederiksberg,9299,3558,9.0,3.4,103402
Ballerup,4708,1423,9.6,2.9,49118
Brøndby,3487,1056,9.9,3.0,35374
Dragør,1385,462,9.5,3.2,14569
Gentofte,7371,2854,9.9,3.8,74368
Gladsaxe,6938,2573,10.0,3.7,69197
Glostrup,2670,1144,11.4,4.9,23455
Herlev,3148,1153,10.9,4.0,28815
Albertslund,2578,1035,9.5,3.8,27239
Hvidovre,5648,2146,10.6,4.0,53333
Høje Tåstrup,4793,2008,9.2,3.9,52105
Lyngby-Taarbæk,5777,1978,10.2,3.5,56825
Rødovre,4069,1230,9.9,3.0,41184
Ishøj,1857,676,8.1,2.9,23051
Tårnby,4147,1412,9.7,3.3,42713
Vallensbæk,1652,579,10.0,3.5,16538
Furesø,4321,1516,10.6,3.7,40955
Allerød,2707,854,10.5,3.3,25853
Fredensborg,4210,1592,10.3,3.9,40991
Helsingør,6921,2365,11.0,3.8,63029
Hillerød,5922,2297,11.4,4.4,51724
Hørsholm,2818,1017,11.3,4.1,24839
Rudersdal,6180,2037,10.9,3.6,56951
Egedal,3800,1247,8.7,2.9,43702
Frederikssund,4902,1675,10.8,3.7,45534
Greve,4389,1662,8.7,3.3,50567
Køge,5520,2151,9.0,3.5,61532
Halsnæs,3587,1148,11.4,3.7,31414
Roskilde,8788,3941,9.9,4.4,88785
Solrød,2027,850,8.6,3.6,23447
Gribskov,4532,1616,11.1,3.9,40974
Odsherred,3397,1287,10.3,3.9,32897
Holbæk,6953,2873,9.7,4.0,71985
Faxe,3320,1249,9.0,3.4,36764
Kalundborg,4291,1695,8.9,3.5,48424
Ringsted,2886,1221,8.3,3.5,34893
Slagelse,7818,3362,9.9,4.2,79225
Stevns,2158,715,9.3,3.1,23165
Sorø,2949,1207,9.8,4.0,29979
Lejre,2711,1117,9.6,4.0,28264
Lolland,3910,1753,9.7,4.3,40438
Næstved,8115,3557,9.7,4.3,83260
Guldborgsund,6633,2624,11.0,4.4,60315
Vordingborg,4266,1644,9.4,3.6,45200
Bornholm,4546,1592,11.4,4.0,39718
Middelfart,4514,1616,11.5,4.1,39237
Assens,3878,1224,9.5,3.0,40858
Faaborg-Midtfyn,5095,1655,9.9,3.2,51640
Kerteminde,2342,776,9.8,3.3,23828
Nyborg,3206,969,10.0,3.0,31953
Odense,19492,6895,9.5,3.4,205140
Svendborg,6986,3152,11.9,5.4,58734
Nordfyn,2842,847,9.6,2.9,29535
Langeland,1467,565,11.9,4.6,12359
Ærø,738,305,12.3,5.1,5984
Haderslev,4937,1872,8.9,3.4,55326
Billund,2344,795,8.8,3.0,26518
Sønderborg,6737,2457,9.1,3.3,73791
Tønder,3368,1251,9.1,3.4,37019
Esbjerg,12315,4178,10.7,3.6,115551
Fanø,376,131,10.9,3.8,3448
Varde,5214,1536,10.5,3.1,49651
Vejen,4391,1525,10.3,3.6,42759
Aabenraa,4737,1736,8.1,3.0,58555
Fredericia,5365,2008,10.4,3.9,51377
Horsens,7771,3039,8.4,3.3,92545
Kolding,8366,3231,9.0,3.5,93122
Vejle,10891,4189,9.3,3.6,117447
Herning,8480,3734,9.5,4.2,89281
Holstebro,5806,2345,9.9,4.0,58693
Lemvig,1986,968,10.1,4.9,19575
Struer,2142,969,10.3,4.7,20808
Syddjurs,4012,1909,9.3,4.4,43249
Norddjurs,3677,1697,9.9,4.6,36973
Favrskov,4226,1846,8.7,3.8,48444
Odder,2390,1172,10.4,5.1,22994
Randers,9460,3735,9.6,3.8,98317
Silkeborg,8607,3462,9.0,3.6,95866
Samsø,489,446,13.3,12.1,3679
Skanderborg,5131,2185,8.1,3.4,63456
Århus,29468,10756,8.4,3.1,352435
Ikast-Brande,3499,1627,8.4,3.9,41528
Ringkøbing-Skjern,5046,2736,9.0,4.9,56138
Hedensted,4018,2022,8.6,4.3,46826
Morsø,2488,1121,12.4,5.6,20059
Skive,4549,2138,10.0,4.7,45420
Thisted,4230,1412,9.8,3.3,43102
Viborg,9753,4023,10.1,4.2,96628
Brønderslev,3638,1460,10.1,4.0,36109
Frederikshavn,5876,2380,10.0,4.0,58982
Vesthimmerland,3772,1209,10.4,3.3,36333
Læsø,286,118,16.1,6.7,1773
Rebild,2773,1054,9.1,3.5,30489
Mariagerfjord,4108,1420,9.9,3.4,41587
Jammerbugt,3670,1313,9.6,3.4,38128
Aalborg,21111,7797,9.6,3.5,219745
Hjørring,7139,2672,11.1,4.2,64111
