"Regionsnavn";"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-2;K;3;0
Hovedstaden;0-2;M;0;0
Hovedstaden;3-5;K;1;0
Hovedstaden;3-5;M;2;1
Hovedstaden;6-11;K;11;4
Hovedstaden;6-11;M;6;4
Hovedstaden;12-15;K;28054;26464
Hovedstaden;12-15;M;29757;28102
Hovedstaden;16-19;K;34075;33206
Hovedstaden;16-19;M;34206;33063
Hovedstaden;20-39;K;217302;210137
Hovedstaden;20-39;M;210539;203703
Hovedstaden;40-64;K;267846;265209
Hovedstaden;40-64;M;263234;260764
Hovedstaden;65-79;K;124651;124263
Hovedstaden;65-79;M;107053;106756
Hovedstaden;80+;K;44305;44107
Hovedstaden;80+;M;26943;26842
Midtjylland;0-2;K;3;1
Midtjylland;0-2;M;1;0
Midtjylland;3-5;K;0;0
Midtjylland;3-5;M;0;0
Midtjylland;6-11;K;0;0
Midtjylland;6-11;M;3;0
Midtjylland;12-15;K;24409;23213
Midtjylland;12-15;M;25491;24237
Midtjylland;16-19;K;29115;28603
Midtjylland;16-19;M;29300;28605
Midtjylland;20-39;K;137676;133812
Midtjylland;20-39;M;141268;137056
Midtjylland;40-64;K;197891;196617
Midtjylland;40-64;M;196593;195305
Midtjylland;65-79;K;100194;100056
Midtjylland;65-79;M;94571;94428
Midtjylland;80+;K;33660;33552
Midtjylland;80+;M;23650;23602
Nordjylland;0-2;K;0;0
Nordjylland;0-2;M;0;0
Nordjylland;3-5;K;1;0
Nordjylland;3-5;M;0;0
Nordjylland;6-11;K;1;0
Nordjylland;6-11;M;0;0
Nordjylland;12-15;K;10030;9581
Nordjylland;12-15;M;10870;10363
Nordjylland;16-19;K;12135;11948
Nordjylland;16-19;M;12512;12155
Nordjylland;20-39;K;55127;53440
Nordjylland;20-39;M;59993;57990
Nordjylland;40-64;K;88172;87620
Nordjylland;40-64;M;88296;87698
Nordjylland;65-79;K;49079;48992
Nordjylland;65-79;M;46961;46884
Nordjylland;80+;K;17038;16996
Nordjylland;80+;M;12148;12113
Sjælland;0-2;K;0;0
Sjælland;0-2;M;0;0
Sjælland;3-5;K;1;1
Sjælland;3-5;M;2;1
Sjælland;6-11;K;0;0
Sjælland;6-11;M;1;0
Sjælland;12-15;K;14742;14082
Sjælland;12-15;M;15470;14758
Sjælland;16-19;K;17191;16918
Sjælland;16-19;M;18193;17819
Sjælland;20-39;K;61858;59841
Sjælland;20-39;M;63743;61783
Sjælland;40-64;K;135439;134440
Sjælland;40-64;M;132671;131783
Sjælland;65-79;K;75054;74908
Sjælland;65-79;M;69747;69616
Sjælland;80+;K;23864;23780
Sjælland;80+;M;16812;16781
Syddanmark;0-2;K;2;1
Syddanmark;0-2;M;0;0
Syddanmark;3-5;K;0;0
Syddanmark;3-5;M;0;0
Syddanmark;6-11;K;6;4
Syddanmark;6-11;M;9;6
Syddanmark;12-15;K;21829;20835
Syddanmark;12-15;M;22845;21780
Syddanmark;16-19;K;26181;25809
Syddanmark;16-19;M;26440;25830
Syddanmark;20-39;K;105048;101736
Syddanmark;20-39;M;110024;106625
Syddanmark;40-64;K;187985;186700
Syddanmark;40-64;M;186351;185008
Syddanmark;65-79;K;101013;100842
Syddanmark;65-79;M;95275;95129
Syddanmark;80+;K;36145;36028
Syddanmark;80+;M;25039;24987
