"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-2;K;8;2;90834;0.0;0.0
0-2;M;1;0;95775;0.0;0.0
3-5;K;6928;125;91007;7.6;0.1
3-5;M;7633;130;96320;7.9;0.1
6-11;K;79580;12272;179378;44.4;6.8
6-11;M;84001;12968;188528;44.6;6.9
12-15;K;105887;98298;132545;79.9;74.2
12-15;M;111716;103734;140112;79.7;74.0
16-19;K;120853;118288;134309;90.0;88.1
16-19;M;124453;121098;140445;88.6;86.2
20-39;K;618349;598423;732870;84.4;81.7
20-39;M;624036;603310;763132;81.8;79.1
40-64;K;883792;876564;946178;93.4;92.6
40-64;M;874428;866524;947626;92.3;91.4
65-79;K;456585;455282;470442;97.1;96.8
65-79;M;420935;419723;433263;97.2;96.9
80+;K;168044;167403;173421;96.9;96.5
80+;M;115443;115103;118286;97.6;97.3
