"Week";"Region";"yes";"total";"percent"
"2020-W44";"Whole Denmark";0;1208;0
"2020-W45";"Whole Denmark";0;1439;0
"2020-W46";"Whole Denmark";4;1270;0,3
"2020-W47";"Whole Denmark";0;1656;0
"2020-W48";"Whole Denmark";3;1709;0,2
"2020-W49";"Whole Denmark";3;1970;0,2
"2020-W50";"Whole Denmark";11;2624;0,4
"2020-W51";"Whole Denmark";31;3548;0,9
"2020-W52";"Whole Denmark";63;3272;1,9
"2020-W53";"Whole Denmark";76;3688;2,1
"2021-W01";"Whole Denmark";148;4022;3,7
"2021-W02";"Whole Denmark";275;3901;7
"2021-W03";"Whole Denmark";460;3579;12,9
"2021-W04";"Whole Denmark";510;2601;19,6
"2021-W05";"Whole Denmark";624;2038;30,6
"2021-W06";"Whole Denmark";288;606;47,5
"2020-W44";"Hovedstaden";0;564;0
"2020-W45";"Hovedstaden";0;657;0
"2020-W46";"Hovedstaden";4;432;0,9
"2020-W47";"Hovedstaden";0;640;0
"2020-W48";"Hovedstaden";3;753;0,4
"2020-W49";"Hovedstaden";0;961;0
"2020-W50";"Hovedstaden";3;1222;0,2
"2020-W51";"Hovedstaden";8;1465;0,5
"2020-W52";"Hovedstaden";17;1451;1,2
"2020-W53";"Hovedstaden";16;1627;1
"2021-W01";"Hovedstaden";45;1707;2,6
"2021-W02";"Hovedstaden";114;1880;6,1
"2021-W03";"Hovedstaden";198;1508;13,1
"2021-W04";"Hovedstaden";234;1154;20,3
"2021-W05";"Hovedstaden";271;798;34
"2021-W06";"Hovedstaden";85;193;44
"2020-W44";"Midtjylland";0;178;0
"2020-W45";"Midtjylland";0;232;0
"2020-W46";"Midtjylland";0;260;0
"2020-W47";"Midtjylland";0;330;0
"2020-W48";"Midtjylland";0;389;0
"2020-W49";"Midtjylland";0;422;0
"2020-W50";"Midtjylland";0;470;0
"2020-W51";"Midtjylland";0;694;0
"2020-W52";"Midtjylland";8;523;1,5
"2020-W53";"Midtjylland";21;706;3
"2021-W01";"Midtjylland";26;828;3,1
"2021-W02";"Midtjylland";22;484;4,5
"2021-W03";"Midtjylland";51;463;11
"2021-W04";"Midtjylland";45;306;14,7
"2021-W05";"Midtjylland";82;338;24,3
"2021-W06";"Midtjylland";74;123;60,2
"2020-W44";"Nordjylland";0;154;0
"2020-W45";"Nordjylland";0;178;0
"2020-W46";"Nordjylland";0;282;0
"2020-W47";"Nordjylland";0;246;0
"2020-W48";"Nordjylland";0;170;0
"2020-W49";"Nordjylland";3;64;4,7
"2020-W50";"Nordjylland";7;104;6,7
"2020-W51";"Nordjylland";12;344;3,5
"2020-W52";"Nordjylland";18;362;5
"2020-W53";"Nordjylland";7;270;2,6
"2021-W01";"Nordjylland";5;244;2
"2021-W02";"Nordjylland";5;327;1,5
"2021-W03";"Nordjylland";24;358;6,7
"2021-W04";"Nordjylland";25;214;11,7
"2021-W05";"Nordjylland";17;192;8,9
"2021-W06";"Nordjylland";9;70;12,9
"2020-W44";"Other";0;7;0
"2020-W45";"Other";0;16;0
"2020-W46";"Other";0;19;0
"2020-W47";"Other";0;9;0
"2020-W48";"Other";0;13;0
"2020-W49";"Other";0;19;0
"2020-W50";"Other";0;15;0
"2020-W51";"Other";1;21;4,8
"2020-W52";"Other";0;24;0
"2020-W53";"Other";0;47;0
"2021-W01";"Other";1;24;4,2
"2021-W02";"Other";3;34;8,8
"2021-W03";"Other";9;33;27,3
"2021-W04";"Other";11;38;28,9
"2021-W05";"Other";2;7;28,6
"2021-W06";"Other";1;2;50
"2020-W44";"Sjælland";0;132;0
"2020-W45";"Sjælland";0;177;0
"2020-W46";"Sjælland";0;127;0
"2020-W47";"Sjælland";0;151;0
"2020-W48";"Sjælland";0;172;0
"2020-W49";"Sjælland";0;266;0
"2020-W50";"Sjælland";0;242;0
"2020-W51";"Sjælland";3;406;0,7
"2020-W52";"Sjælland";11;349;3,2
"2020-W53";"Sjælland";7;488;1,4
"2021-W01";"Sjælland";37;636;5,8
"2021-W02";"Sjælland";70;639;11
"2021-W03";"Sjælland";79;617;12,8
"2021-W04";"Sjælland";103;469;22
"2021-W05";"Sjælland";130;304;42,8
"2021-W06";"Sjælland";49;94;52,1
"2020-W44";"Syddanmark";0;173;0
"2020-W45";"Syddanmark";0;179;0
"2020-W46";"Syddanmark";0;150;0
"2020-W47";"Syddanmark";0;280;0
"2020-W48";"Syddanmark";0;212;0
"2020-W49";"Syddanmark";0;238;0
"2020-W50";"Syddanmark";1;571;0,2
"2020-W51";"Syddanmark";7;618;1,1
"2020-W52";"Syddanmark";9;563;1,6
"2020-W53";"Syddanmark";25;550;4,5
"2021-W01";"Syddanmark";34;583;5,8
"2021-W02";"Syddanmark";61;537;11,4
"2021-W03";"Syddanmark";99;600;16,5
"2021-W04";"Syddanmark";92;420;21,9
"2021-W05";"Syddanmark";122;399;30,6
"2021-W06";"Syddanmark";70;124;56,5
